"GPStime","peakFreq","snr","amplitude","centralFreq","duration","bandwidth","chisq","chisqDof","confidence","id","ifo","label","imgUrl","Q-value"
1266125561.860,95.999,9.424,7.92e-23,3956.444,0.150,7838.527832,0.000,0.000,1.000,"SZn2wdR2sl","V1","Blip","https://ldas-jobs.ligo.caltech.edu/~gravityspy/runs/${RUN}/Virgo/y7RQHWdS1o/SZn2wdR2sl.png",5.657
1261935019.858,269.285,33.187,1.17e-22,451.078,0.281,830.596863,0.000,0.000,1.000,"ZDVrBZK0Jg","L1","Blip","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/TeA5YivBTf/ZDVrBZK0Jg.png",5.657
1258368009.279,217.741,22.794,8.61e-23,1842.240,0.174,3626.618896,0.000,0.000,1.000,"23xmh4Z6zM","H1","Blip","https://ldas-jobs.ligo-wa.caltech.edu/~gravityspy/runs/O3/xrCZCPynsm/23xmh4Z6zM.png",5.657
1262116836.416,411.865,22.681,8.86e-23,1938.932,0.219,3789.366699,0.000,0.000,1.000,"3vp0NYbMWg","L1","Blip","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/5JEeHnWI44/3vp0NYbMWg.png",5.657
1261310301.310,217.741,17.941,6.09e-23,1864.607,0.116,3640.716797,0.000,0.000,1.000,"gZUQzrIg7m","L1","Blip","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/se5JgRlH97/gZUQzrIg7m.png",5.657
1262037204.724,95.999,17.109,1.54e-22,2248.755,0.350,4437.283691,0.000,0.000,1.000,"TsQLfbSQYA","V1","Blip","https://ldas-jobs.ligo.caltech.edu/~gravityspy/runs/${RUN}/Virgo/8EHSij2q5Z/TsQLfbSQYA.png",5.657
1259988353.000,217.741,15.123,5.46e-23,563.094,0.125,1016.741882,0.000,0.000,1.000,"1MJFh6F59T","H1","Blip","https://ldas-jobs.ligo-wa.caltech.edu/~gravityspy/runs/O3/lkWV2YAHil/1MJFh6F59T.png",5.657
1267386929.436,77.754,12.537,1.04e-22,118.971,0.313,163.581589,0.000,0.000,1.000,"lNQPnhZkRj","V1","Blip","https://ldas-jobs.ligo.caltech.edu/~gravityspy/runs/${RUN}/Virgo/ELLLwUzt1X/lNQPnhZkRj.png",5.657
1267933738.771,77.754,11.619,1.02e-22,142.526,0.063,210.691849,0.000,0.000,1.000,"zPLoizZJj1","V1","Blip","https://ldas-jobs.ligo.caltech.edu/~gravityspy/runs/${RUN}/Virgo/8GEETMzdvq/zPLoizZJj1.png",5.657
1265534919.080,77.754,11.051,9.68e-23,203.982,0.078,347.737244,0.000,0.000,1.000,"KVt4TYxBWd","V1","Blip","https://ldas-jobs.ligo.caltech.edu/~gravityspy/runs/${RUN}/Virgo/ritQb1DQ0B/KVt4TYxBWd.png",5.657
1261578634.349,95.999,8.761,8.22e-23,118.971,0.094,163.581589,0.000,0.000,1.000,"SkCLGI3BT4","V1","Blip","https://ldas-jobs.ligo.caltech.edu/~gravityspy/runs/${RUN}/Virgo/Z5oQJ3rFxR/SkCLGI3BT4.png",5.657
1261765101.458,95.999,8.475,7.73e-23,118.971,0.031,163.581589,0.000,0.000,1.000,"rhiSqiQYdr","V1","Blip","https://ldas-jobs.ligo.caltech.edu/~gravityspy/runs/${RUN}/Virgo/0VUoT2G79x/rhiSqiQYdr.png",5.657
1259447011.826,62.976,7.669,9.27e-23,84.440,0.063,94.520531,0.000,0.000,1.000,"EvjkqbwAXi","V1","Blip","https://ldas-jobs.ligo.caltech.edu/~gravityspy/runs/${RUN}/Virgo/uNDFU41u73/EvjkqbwAXi.png",5.657
1257478155.269,509.363,25.045,1.15e-22,1620.481,0.125,3152.464844,0.000,0.000,1.000,"rSyZT7Zbfj","H1","Blip","https://ldas-jobs.ligo-wa.caltech.edu/~gravityspy/runs/O3/XlMjG4NQuc/rSyZT7Zbfj.png",5.657
1257478155.269,509.363,25.045,1.15e-22,1620.481,0.125,3152.464844,0.000,0.000,1.000,"IgYEdpxPVR","H1","Blip","https://ldas-jobs.ligo-wa.caltech.edu/~gravityspy/runs/O3/ACZz3Qj7vD/IgYEdpxPVR.png",5.657
1257478155.269,509.363,25.045,1.15e-22,1620.481,0.125,3152.464844,0.000,0.000,1.000,"XXL7wYe5ZC","H1","Blip","https://ldas-jobs.ligo-wa.caltech.edu/~gravityspy/runs/O3/55I4VHnlTq/XXL7wYe5ZC.png",5.657
1257478155.269,509.363,25.045,1.15e-22,1620.481,0.125,3152.464844,0.000,0.000,1.000,"t8YgHF6WIb","H1","Blip","https://ldas-jobs.ligo-wa.caltech.edu/~gravityspy/runs/O3/GxRh8LL2ck/t8YgHF6WIb.png",5.657
1257478155.269,509.363,25.045,1.15e-22,1620.481,0.125,3152.464844,0.000,0.000,1.000,"jqZBjepbSr","H1","Blip","https://ldas-jobs.ligo-wa.caltech.edu/~gravityspy/runs/O3/I1nhR7yHB1/jqZBjepbSr.png",5.657
1262509869.080,269.285,23.660,8.24e-23,1035.484,0.094,1982.469360,0.000,0.000,1.000,"aF3esDzXqP","H1","Blip","https://ldas-jobs.ligo-wa.caltech.edu/~gravityspy/runs/O3/oH0bUmE7CW/aF3esDzXqP.png",5.657
1263773071.551,333.030,23.651,8.89e-23,1031.249,0.250,1990.938965,0.000,0.000,1.000,"BbIUZ0G84L","H1","Blip","https://ldas-jobs.ligo-wa.caltech.edu/~gravityspy/runs/O3/gUQWsEPDjV/BbIUZ0G84L.png",5.657
